"ID","NAME","LINK","TYPE","EXTRAS","DISCOVERED","ERROR"
"6706f42215c2b9798b2b0c4b","Anthony Kiedis","Anthony Kiedis","person",{"image":"Anthony Kiedis 2022.jpg","caption":"Kiedis performing in June 2022","alias":[{"name":"Tony"},{"name":"Cole Dammett"},{"name":"Tony Flow"},{"name":"The Rainy Lithuanian"},{"name":"Antoine the Swan"}],"birth_date":"{{Birth date and age|mf=yes|1962|11|1}}","birth_place":"[[Grand Rapids, Michigan]], U.S.","children":"1","awards":"[[List of awards and nominations received by Red Hot Chili Peppers|Full list]]","occupation":[{"name":"Singer"},{"name":"rapper"},{"name":"songwriter"}],"years_active":"1983–present","instrument":[{"name":"Vocals"}]},true,""
"67082d2a5f2a9b4b88ae077a","Anthony Paul Rivera","","person",null,true,"LookupError"
"6708305ff5951699062f8eca","Anthony Valcic","","person",null,false,""
"67082d9d5f2a9b4b88ae07ed","Anthrax","Anthrax (American band)","group_or_band",null,false,""
"6706f32e15c2b9798b2b0b2c","Anyone","Anyone (band)","group_or_band",null,true,"NoMusicalInfoboxException"
"6706f36815c2b9798b2b0b69","Anywhere","Anywhere (band)","group_or_band",null,true,"NoMusicalInfoboxException"
"67082e005f2a9b4b88ae084e","Apollo 100","Apollo 100","group_or_band",{"image":"File:Apollo 100 - TopPop 1972 1.png","image_size":"250px","caption":"Bandleader Tom Parker in 1972 on [[AVRO]]'s ''[[TopPop]]''.","years_active":"{{Start date|1971}}–{{End date|1973}}"},true,""
"6706f42e15c2b9798b2b0c5c","April Kae","April Kae","person",{"image":"Fever 333 - 2023153160739 2023-06-02 Rock am Ring - Sven - 1D X MK II - 1217 - AK8I3210.jpg","caption":"Kae performing in 2023 with Fever 333","birth_place":"[[Austin, Texas]], U.S.","occupation":[{"name":"Musician"},{"name":"singer"},{"name":"songwriter"},{"name":"producer"},{"name":"model"},{"name":"social media content creator"}],"instrument":[{"name":"Bass guitar"},{"name":"vocals"}]},true,""
"6706f42f15c2b9798b2b0c5e","Aric Improta","","person",null,true,"LookupError"
"6706f42515c2b9798b2b0c53","Arik Marshall","Arik Marshall","person",{"image":"Arik Marshall.jpg","caption":"Arik Marshall performing live","birth_name":"Arik Ben Marshall","birth_date":"{{birth date and age|1967|02|13}}","birth_place":"Los Angeles, United States","occupation":[{"name":"Musician"},{"name":"singer-songwriter"},{"name":"author"},{"name":"poet"}],"instrument":[{"name":"Guitar"}],"associated_acts":[{"link":"Red Hot Chili Peppers","name":"Red Hot Chili Peppers"},{"link":"Macy Gray","name":"Macy Gray"}]},true,""
"6706f3fb15c2b9798b2b0c1b","Arion Salazar","","person",null,true,"RedirectException"
"6706f4bb15c2b9798b2b0cfc","Armageddon","Armageddon (A&M band)","group_or_band",null,true,"NoMusicalInfoboxException"
"6706f3e315c2b9798b2b0bfd","Army of Anyone","Army of Anyone","group_or_band",{"origin":"[[Los Angeles]], [[California]], U.S.","years_active":"2005–2007"},true,""
"670832dd3a9193be0699aabc","Arnold Corns","Arnold Corns","group_or_band",null,false,""
